,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19
0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,4
3,1,2,2,1,1,1,2,2,1,1,1,1,1,1,6,2,1,1,1,4
4,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,4
5,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,4
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,3,3,3,3,0
12,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4
13,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4
14,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4
15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4
16,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4
17,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0
